Periode;Inflasi
1;3.72
2;3.81
3;3.43
4;3.91
5;4.16
6;5.05
7;6.22
8;6.44
9;5.8
10;5.67
11;6.33
12;6.96
13;7.02
14;6.84
15;6.65
16;6.16
17;5.98
18;5.54
19;4.61
20;4.79
21;4.61
22;4.42
23;4.15
24;3.79
25;3.65
26;3.56
27;3.97
28;4.5
29;4.45
30;4.53
31;4.56
32;4.58
33;4.31
34;4.61
35;4.32
36;4.3
37;4.57
38;5.31
39;5.9
40;5.57
41;5.47
42;5.9
43;8.61
44;8.79
45;8.4
46;8.32
47;8.37
48;8.38
49;8.22
50;7.75
51;7.32
52;7.25
53;7.32
54;6.7
55;4.53
56;3.99
57;4.53
58;4.83
59;6.23
60;8.36
61;6.96
62;6.29
63;6.38
64;6.79
65;7.15
66;7.26
67;7.26
68;7.18
69;6.83
70;6.25
71;4.89
72;3.35
73;4.14
74;4.42
75;4.45
76;3.6
77;3.33
78;3.45
79;3.21
80;2.79
81;3.07
82;3.31
83;3.58
84;3.02
85;3.49
86;3.83
87;3.61
88;4.17
89;4.33
90;4.37
91;3.88
92;3.82
93;3.72
94;3.58
95;3.3
96;3.61
97;3.25
98;3.18
99;3.4
100;3.41
101;3.23
102;3.12
103;3.18
104;3.2
105;2.88
106;3.16
107;3.23
108;3.13
109;2.82
110;2.57
111;2.48
112;2.83
113;3.32
114;3.28
115;3.32
116;3.49
117;3.39
118;3.13
119;3
120;2.72
121;2.68
122;2.98
123;2.96
124;2.67
125;2.19
126;1.96
127;1.54
128;1.32
129;1.42
130;1.44
131;1.59
132;1.68
133;1.55
134;1.38
135;1.37
136;1.42
137;1.68
138;1.33
139;1.52
140;1.59
141;1.6
142;1.66
143;1.75
144;1.87
145;2.18
146;2.06
147;2.64
148;3.47
149;3.55
150;4.35
151;4.94
152;4.69
153;5.95
154;5.71
155;5.42
156;5.51
157;5.28
158;5.47
159;4.97
160;4.33
161;4
162;3.52
