Year;CommodityCode;CropName;CountyCode;County;HarvestedAcres;Yield(Unit/Acre);Production;Price(Dollars/Unit);Unit;Value(Dollars)
2017;216299;GRAPESWINE;1;Alameda;2420;5.08;12300;1447.32;Tons;17802000
2017;216299;GRAPESWINE;5;Amador;4570;3.54;16200;1418.70;Tons;22983000
2017;216299;GRAPESWINE;9;Calaveras;683;2.94;2010;1479.10;Tons;2973000
2017;216299;GRAPESWINE;11;Colusa;1670;10.42;17400;773.10;Tons;13452000
2017;216299;GRAPESWINE;13;ContraCosta;2550;5.06;12900;924.03;Tons;11920000
2017;216299;GRAPESWINE;17;ElDorado;2340;2.53;5930;1503.20;Tons;8914000
2017;216299;GRAPESWINE;19;Fresno;59700;13.32;795000;361.02;Tons;287013000
2017;216299;GRAPESWINE;29;Kern;32200;8.60;277000;311.22;Tons;86209000
2017;216299;GRAPESWINE;31;Kings;3600;15.64;56300;287.14;Tons;16166000
2017;216299;GRAPESWINE;33;Lake;8230;5.65;46500;1691.27;Tons;78644000
2017;216299;GRAPESWINE;39;Madera;36800;10.65;392000;304.11;Tons;119212000
2017;216299;GRAPESWINE;41;Marin;195;1.49;291;3072.16;Tons;894000
2017;216299;GRAPESWINE;43;Mariposa;73;0.52;38;1263.16;Tons;48000
2017;216299;GRAPESWINE;45;Mendocino;16900;3.39;57300;1540.79;Tons;88287000
2017;216299;GRAPESWINE;47;Merced;13600;10.37;141000;349.32;Tons;49254000
2017;216299;GRAPESWINE;53;Monterey;44300;3.86;171000;1397.82;Tons;239027000
2017;216299;GRAPESWINE;55;Napa;43600;3.26;142000;5287.55;Tons;750832000
2017;216299;GRAPESWINE;57;Nevada;416;3.65;1520;1287.50;Tons;1957000
2017;216299;GRAPESWINE;61;Placer;270;3.01;814;1371.01;Tons;1116000
2017;216299;GRAPESWINE;65;Riverside;2530;3.44;8700;1520.34;Tons;13227000
2017;216299;GRAPESWINE;67;Sacramento;35300;7.79;275000;618.84;Tons;170181000
2017;216299;GRAPESWINE;69;SanBenito;4380;4.86;21300;1460.89;Tons;31117000
2017;216299;GRAPESWINE;71;SanBernardino;268;1.69;454;663.00;Tons;301000
2017;216299;GRAPESWINE;73;SanDiego;1210;2.30;2780;1386.33;Tons;3854000
2017;216299;GRAPESWINE;77;SanJoaquin;98100;6.79;666000;593.91;Tons;395541000
2017;216299;GRAPESWINE;79;SanLuisObispo;42200;3.89;164000;1632.09;Tons;267662000
2017;216299;GRAPESWINE;81;SanMateo;164;;;;Tons;1182000
2017;216299;GRAPESWINE;83;SantaBarbara;21600;3.37;72700;2010.04;Tons;146130000
2017;216299;GRAPESWINE;85;SantaClara;1600;3.44;5510;1827.04;Tons;10067000
2017;216299;GRAPESWINE;87;SantaCruz;638;2.35;1500;3226.67;Tons;4840000
2017;216299;GRAPESWINE;89;Shasta;170;2.50;425;1134.12;Tons;482000
2017;216299;GRAPESWINE;95;Solano;4110;4.62;19000;1072.05;Tons;20369000
2017;216299;GRAPESWINE;97;Sonoma;60000;3.43;206000;2807.34;Tons;578313000
2017;216299;GRAPESWINE;105;Trinity;44;1.93;85;1729.41;Tons;147000
2017;216299;GRAPESWINE;107;Tulare;9450;17.35;164000;308.00;Tons;50512000
2017;216299;GRAPESWINE;113;Yolo;14800;6.89;102000;843.25;Tons;86012000
2018;216299;GRAPESWINE;1;Alameda;3390;5.34;18100;1503.04;Tons;27205000
2018;216299;GRAPESWINE;5;Amador;4910;3.71;18200;1362.09;Tons;24790000
2018;216299;GRAPESWINE;9;Calaveras;711;3.21;2280;1486.84;Tons;3390000
2018;216299;GRAPESWINE;11;Colusa;1970;8.22;16200;853.46;Tons;13826000
2018;216299;GRAPESWINE;13;ContraCosta;2440;5.29;12900;897.83;Tons;11582000
2018;216299;GRAPESWINE;17;ElDorado;2670;2.57;6850;1630.51;Tons;11169000
2018;216299;GRAPESWINE;19;Fresno;59500;12.92;769000;373.14;Tons;286941000
2018;216299;GRAPESWINE;29;Kern;29200;9.45;276000;299.00;Tons;82523000
2018;216299;GRAPESWINE;31;Kings;3670;15.07;55300;293.16;Tons;16212000
2018;216299;GRAPESWINE;33;Lake;9250;5.02;46400;1755.82;Tons;81470000
2018;216299;GRAPESWINE;39;Madera;34800;11.15;388000;323.02;Tons;125331000
2018;216299;GRAPESWINE;41;Marin;195;1.96;382;3201.57;Tons;1223000
2018;216299;GRAPESWINE;43;Mariposa;73;0.52;38;1263.16;Tons;48000
2018;216299;GRAPESWINE;45;Mendocino;16700;4.90;81900;1684.40;Tons;137952000
2018;216299;GRAPESWINE;47;Merced;13400;9.70;130000;392.85;Tons;51070000
2018;216299;GRAPESWINE;53;Monterey;44900;4.01;180000;1376.43;Tons;247758000
2018;216299;GRAPESWINE;55;Napa;43400;4.26;185000;5614.05;Tons;1038600000
2018;216299;GRAPESWINE;57;Nevada;416;4.52;1880;1284.57;Tons;2415000
2018;216299;GRAPESWINE;61;Placer;293;3.65;1070;1355.14;Tons;1450000
2018;216299;GRAPESWINE;65;Riverside;2310;3.81;8800;1623.52;Tons;14287000
2018;216299;GRAPESWINE;67;Sacramento;36400;8.79;320000;583.68;Tons;186777000
2018;216299;GRAPESWINE;69;SanBenito;4740;4.77;22600;1500.66;Tons;33915000
2018;216299;GRAPESWINE;71;SanBernardino;223;0.35;78;1205.13;Tons;94000
2018;216299;GRAPESWINE;73;SanDiego;1640;2.00;3280;1399.70;Tons;4591000
2018;216299;GRAPESWINE;77;SanJoaquin;97200;7.73;751000;573.23;Tons;430492000
2018;216299;GRAPESWINE;79;SanLuisObispo;42900;4.13;177000;1559.33;Tons;276002000
2018;216299;GRAPESWINE;81;SanMateo;126;;;;Tons;1407000
2018;216299;GRAPESWINE;83;SantaBarbara;16200;3.65;59100;2052.57;Tons;121307000
2018;216299;GRAPESWINE;85;SantaClara;1670;3.74;6250;1797.60;Tons;11235000
2018;216299;GRAPESWINE;87;SantaCruz;630;2.27;1430;2934.97;Tons;4197000
2018;216299;GRAPESWINE;89;Shasta;170;2.60;442;1138.01;Tons;503000
2018;216299;GRAPESWINE;95;Solano;3720;6.45;24000;1225.17;Tons;29404000
2018;216299;GRAPESWINE;97;Sonoma;59900;4.61;276000;2817.66;Tons;777675000
