HarvestedAcres;Yield(Unit/Acre);Production;Price(Dollars/Unit);Unit;Value(Dollars)
2630;4.83;12700;1432.2;Tons;18189000
44;1.93;85;1729.41;Tons;147000
9940;15.29;152000;303;Tons;46056000
1390;10.36;14400;542.15;Tons;7807000
14500;7.1;103000;788.97;Tons;81264000
2500;5.04;12600;1096.03;Tons;13810000
2340;2.58;6030;1449.59;Tons;8741000
75500;10;755000;382.85;Tons;289053000
29700;7.85;233000;298.54;Tons;69559000
3730;13.62;50800;286.22;Tons;14540000
8230;5.65;46500;1691.27;Tons;78644000
37300;11.23;419000;314.01;Tons;131571000
182;1.37;250;3468;Tons;867000
73;0.52;38;1263.16;Tons;48000
16900;3.39;57300;1540.79;Tons;88287000
13600;11.18;152000;525.6;Tons;79891000
4260;3.17;13500;1335.41;Tons;18028000
44800;3.84;172000;1388.91;Tons;238892000
43400;3.53;153000;4768.02;Tons;729507000
417;3.33;1390;1386.33;Tons;1927000
265;3.11;823;1245.44;Tons;1025000
2630;2.09;5500;1746.18;Tons;9604000
33900;8.5;288000;639.59;Tons;184202000
4380;4.86;21300;1460.89;Tons;31117000
268;0.72;192;1463.54;Tons;281000
930;2.71;2520;1192.46;Tons;3005000
98000;7.31;716000;594.67;Tons;425781000
40300;3.87;156000;1557.05;Tons;242900000
152;;;;Tons;703000
21300;3.87;82500;1837.94;Tons;151630000
1580;2.84;4490;1703.56;Tons;7649000
626;2.43;1520;2988.82;Tons;4543000
160;1.7;272;1110.29;Tons;302000
696;2.89;2010;1375.62;Tons;2765000
4110;5.79;23800;821.85;Tons;19560000
60000;3.77;226000;2595.21;Tons;586518000
2420;5.08;12300;1447.32;Tons;17802000
44;1.93;85;1729.41;Tons;147000
9450;17.35;164000;308.00;Tons;50512000
1670;10.42;17400;773.10;Tons;13452000
14800;6.89;102000;843.25;Tons;86012000
2550;5.06;12900;924.03;Tons;11920000
2340;2.53;5930;1503.20;Tons;8914000
59700;13.32;795000;361.02;Tons;287013000
32200;8.60;277000;311.22;Tons;86209000
3600;15.64;56300;287.14;Tons;16166000
8230;5.65;46500;1691.27;Tons;78644000
36800;10.65;392000;304.11;Tons;119212000
195;1.49;291;3072.16;Tons;894000
73;0.52;38;1263.16;Tons;48000
16900;3.39;57300;1540.79;Tons;88287000
13600;10.37;141000;349.32;Tons;49254000
4570;3.54;16200;1418.70;Tons;22983000
44300;3.86;171000;1397.82;Tons;239027000
43600;3.26;142000;5287.55;Tons;750832000
416;3.65;1520;1287.50;Tons;1957000
270;3.01;814;1371.01;Tons;1116000
2530;3.44;8700;1520.34;Tons;13227000
35300;7.79;275000;618.84;Tons;170181000
4380;4.86;21300;1460.89;Tons;31117000
268;1.69;454;663.00;Tons;301000
1210;2.30;2780;1386.33;Tons;3854000
98100;6.79;666000;593.91;Tons;395541000
42200;3.89;164000;1632.09;Tons;267662000
164;;;;Tons;1182000
21600;3.37;72700;2010.04;Tons;146130000
1600;3.44;5510;1827.04;Tons;10067000
638;2.35;1500;3226.67;Tons;4840000
170;2.50;425;1134.12;Tons;482000
683;2.94;2010;1479.10;Tons;2973000
4110;4.62;19000;1072.05;Tons;20369000
60000;3.43;206000;2807.34;Tons;578313000
3390;5.34;18100;1503.04;Tons;27205000
141;5.16;728;1837.91;Tons;1338000
