Year;CommodityCode;CropName;CountyCode;County;HarvestedAcres;Yield(Unit/Acre);Production;Price(Dollars/Unit);Unit;Value(Dollars)
1980;216299;GRAPESWINE;83;SantaBarbara;5306;1.54;8171;499;TONS;4073244
1981;216299;GRAPESWINE;83;SantaBarbara;5496;2.78;15279;554;TONS;8461052
1982;216299;GRAPESWINE;83;SantaBarbara;6382;2.95;18827;561;TONS;10566654
1983;216299;GRAPESWINE;83;SantaBarbara;8452;2.47;20876;563;TONS;11750683
1984;216299;GRAPESWINE;83;SantaBarbara;8670;3.85;33380;414;TONS;13834007
1985;216299;GRAPESWINE;83;SantaBarbara;7448;4.28;31877;360;TONS;11480183
1986;216299;GRAPESWINE;83;SantaBarbara;9510;2.75;26149;424;TON;11098420
1987;216299;GRAPESWINE;83;SantaBarbara;8646;3.08;26630;527;TONS;14021760
1988;216299;GRAPESWINE;83;SantaBarbara;9045;3.31;29895;711;TON;21255000
1989;216299;GRAPESWINE;83;SantaBarbara;7613;3.71;28244;1068;TONS;30163180
1990;216299;GRAPESWINE;83;SantaBarbara;8151;3.77;30729;1016;TONS;31217600
1991;216299;GRAPESWINE;83;SantaBarbara;8889;3.56;31645;1036;TONS;32784500
1992;216299;GRAPESWINE;83;SantaBarbara;9036;3.06;27650;1011;TONS;27960500
1997;216299;GRAPESWINE;83;SantaBarbara;9369;4.63;43379;1184;TONS;51352500
1998;216299;GRAPESWINE;83;SantaBarbara;10799;3.63;39200;1510;TONS;59189300
1999;216299;GRAPESWINE;83;SantaBarbara;14064;2.99;42051;1430;TON;60117800
2001;216299;GRAPESWINE;83;SantaBarbara;16634;5.52;91820;1289;TONS;118328400
2002;216299;GRAPESWINE;83;SantaBarbara;16667;2.93;48834;1482;TON;72373900
2003;216299;GRAPESWINE;83;SantaBarbara;16667;2.88;48001;1371.81;TON;65848300
2004;216299;GRAPESWINE;83;SantaBarbara;17408;3.67;63887;1305.86;TON;83427500
2005;216299;GRAPESWINE;83;SantaBarbara;20308;6.18;125503;1277.78;TONS;160365200
2006;216299;GRAPESWINE;83;SantaBarbara;20829;4.43;92272;1163.71;TONS;107377800
2007;216299;GRAPESWINE;83;SantaBarbara;21263;3.35;71231;1402.74;TON;99918600
2008;216299;GRAPESWINE;83;SantaBarbara;21643;2.86;61797;1394.05;TONS;86148100
2009;216299;GRAPESWINE;83;SantaBarbara;22050;4.50;99225;1385.00;Tons;137426600
2010;216299;GRAPESWINE;83;SantaBarbara;21800;3.79;82700;1177.45;Tons;97375000
2011;216299;GRAPESWINE;83;SantaBarbara;20500;2.93;60100;1280.52;Tons;76959000
2012;216299;GRAPESWINE;83;SantaBarbara;20500;3.26;66800;1363.88;Tons;91107000
2013;216299;GRAPESWINE;83;SantaBarbara;21000;4.16;87400;1869.13;tons;163362000
2014;216299;GRAPESWINE;83;SantaBarbara;21100;4.29;90600;1713.64;Tons;155256000
2015;216299;GRAPESWINE;83;SantaBarbara;21300;3.12;66400;1599.37;Tons;106198000
2016;216299;GRAPESWINE;83;SantaBarbara;21300;3.87;82500;1837.94;Tons;151630000
2017;216299;GRAPESWINE;83;SantaBarbara;21600;3.37;72700;2010.04;Tons;146130000
2018;216299;GRAPESWINE;83;SantaBarbara;16200;3.65;59100;2052.57;Tons;121307000
2019;216299;GRAPESWINE;83;SantaBarbara;14900;3.37;50200;2113.13;Tons;106079000
2020;216299;GRAPESWINE;83;SantaBarbara;14400;2.97;42800;2192.43;Tons;93836000
