"Periode","Data Inflasi"
2002-12-01,"0"
2003-01-01,"8.68"
2003-02-01,"7.6"
2003-03-01,"7.17"
2003-04-01,"7.62"
2003-05-01,"7.15"
2003-06-01,"6.98"
2003-07-01,"6.27"
2003-08-01,"6.51"
2003-09-01,"6.33"
2003-10-01,"6.48"
2003-11-01,"5.53"
2003-12-01,"5.16"
2004-01-01,"4.82"
2004-02-01,"4.6"
2004-03-01,"5.11"
2004-04-01,"5.92"
2004-05-01,"6.47"
2004-06-01,"6.83"
2004-07-01,"7.2"
2004-08-01,"6.67"
2004-09-01,"6.27"
2004-10-01,"6.22"
2004-11-01,"6.18"
2004-12-01,"6.4"
2005-01-01,"7.32"
2005-02-01,"7.15"
2005-03-01,"8.81"
2005-04-01,"8.12"
2005-05-01,"7.4"
2005-06-01,"7.42"
2005-07-01,"7.84"
2005-08-01,"8.33"
2005-09-01,"9.06"
2005-10-01,"17.89"
2005-11-01,"18.38"
2005-12-01,"17.11"
2006-01-01,"17.03"
2006-02-01,"17.92"
2006-03-01,"15.74"
2006-04-01,"15.4"
2006-05-01,"15.6"
2006-06-01,"15.53"
2006-07-01,"15.15"
2006-08-01,"14.9"
2006-09-01,"14.55"
2006-10-01,"6.29"
2006-11-01,"5.27"
2006-12-01,"6.6"
2007-01-01,"6.26"
2007-02-01,"6.3"
2007-03-01,"6.52"
2007-04-01,"6.29"
2007-05-01,"6.01"
2007-06-01,"5.77"
2007-07-01,"6.06"
2007-08-01,"6.51"
2007-09-01,"6.95"
2007-10-01,"6.88"
2007-11-01,"6.71"
2007-12-01,"6.59"
2008-01-01,"7.36"
2008-02-01,"7.4"
2008-03-01,"8.17"
2008-04-01,"8.96"
2008-05-01,"10.38"
2008-06-01,"11.03"
2008-07-01,"11.9"
2008-08-01,"11.85"
2008-09-01,"12.14"
2008-10-01,"11.77"
2008-11-01,"11.68"
2008-12-01,"11.06"
2009-01-01,"9.17"
2009-02-01,"8.6"
2009-03-01,"7.92"
2009-04-01,"7.31"
2009-05-01,"6.04"
2009-06-01,"3.65"
2009-07-01,"2.71"
2009-08-01,"2.75"
2009-09-01,"2.83"
2009-10-01,"2.57"
2009-11-01,"2.41"
2009-12-01,"2.78"
2010-01-01,"3.72"
2010-02-01,"3.81"
2010-03-01,"3.43"
2010-04-01,"3.91"
2010-05-01,"4.16"
2010-06-01,"5.05"
2010-07-01,"6.22"
2010-08-01,"6.44"
2010-09-01,"5.8"
2010-10-01,"5.67"
2010-11-01,"6.33"
2010-12-01,"6.96"
2011-01-01,"7.02"
2011-02-01,"6.84"
2011-03-01,"6.65"
2011-04-01,"6.16"
2011-05-01,"5.98"
2011-06-01,"5.54"
2011-07-01,"4.61"
2011-08-01,"4.79"
2011-09-01,"4.61"
2011-10-01,"4.42"
2011-11-01,"4.15"
2011-12-01,"3.79"
2012-01-01,"3.65"
2012-02-01,"3.56"
2012-03-01,"3.97"
2012-04-01,"4.5"
2012-05-01,"4.45"
2012-06-01,"4.53"
2012-07-01,"4.56"
2012-08-01,"4.58"
2012-09-01,"4.31"
2012-10-01,"4.61"
2012-11-01,"4.32"
2012-12-01,"4.3"
2013-01-01,"4.57"
2013-02-01,"5.31"
2013-03-01,"5.9"
2013-04-01,"5.57"
2013-05-01,"5.47"
2013-06-01,"5.9"
2013-07-01,"8.61"
2013-08-01,"8.79"
2013-09-01,"8.4"
